NIfTI ID,Slice Index,Tumor Ratio,Tumor Area (in pixel),Brain Area (in pixel),Tumor Area (in mm),Brain Area (in mm)
BraTS-GLI-00810-000,40,0.0791,866,10946,866.0,10946.0
BraTS-GLI-00810-000,41,0.088,984,11185,984.0,11185.0
BraTS-GLI-00810-000,42,0.0967,1097,11345,1097.0,11345.0
BraTS-GLI-00810-000,43,0.1075,1237,11512,1237.0,11512.0
BraTS-GLI-00810-000,44,0.1181,1376,11653,1376.0,11653.0
BraTS-GLI-00810-000,45,0.1291,1517,11754,1517.0,11754.0
BraTS-GLI-00810-000,46,0.1399,1660,11864,1660.0,11864.0
BraTS-GLI-00810-000,47,0.1487,1774,11934,1774.0,11934.0
BraTS-GLI-00810-000,48,0.1628,1957,12022,1957.0,12022.0
BraTS-GLI-00810-000,49,0.1672,2020,12079,2020.0,12079.0
BraTS-GLI-00810-000,50,0.172,2087,12133,2087.0,12133.0
BraTS-GLI-00810-000,51,0.1758,2145,12204,2145.0,12204.0
BraTS-GLI-00810-000,52,0.179,2199,12284,2199.0,12284.0
BraTS-GLI-00810-000,53,0.182,2246,12338,2246.0,12338.0
BraTS-GLI-00810-000,54,0.1845,2282,12371,2282.0,12371.0
BraTS-GLI-00810-000,55,0.1862,2321,12463,2321.0,12463.0
BraTS-GLI-00810-000,56,0.1836,2378,12953,2378.0,12953.0
BraTS-GLI-00810-000,57,0.1833,2418,13195,2418.0,13195.0
BraTS-GLI-00810-000,58,0.1817,2442,13442,2442.0,13442.0
BraTS-GLI-00810-000,59,0.183,2484,13576,2484.0,13576.0
BraTS-GLI-00810-000,60,0.1833,2500,13642,2500.0,13642.0
BraTS-GLI-00810-000,61,0.1834,2535,13823,2535.0,13823.0
BraTS-GLI-00810-000,62,0.1858,2597,13978,2597.0,13978.0
BraTS-GLI-00810-000,63,0.1921,2706,14086,2706.0,14086.0
BraTS-GLI-00810-000,64,0.1942,2774,14282,2774.0,14282.0
BraTS-GLI-00810-000,65,0.1968,2816,14307,2816.0,14307.0
BraTS-GLI-00810-000,66,0.1961,2831,14435,2831.0,14435.0
BraTS-GLI-00810-000,67,0.1894,2747,14505,2747.0,14505.0
BraTS-GLI-00810-000,68,0.1886,2749,14574,2749.0,14574.0
BraTS-GLI-00810-000,69,0.191,2797,14647,2797.0,14647.0
BraTS-GLI-00810-000,70,0.1944,2866,14740,2866.0,14740.0
BraTS-GLI-00810-000,71,0.1997,2963,14836,2963.0,14836.0
BraTS-GLI-00810-000,72,0.2052,3069,14958,3069.0,14958.0
BraTS-GLI-00810-000,73,0.2075,3133,15097,3133.0,15097.0
BraTS-GLI-00810-000,74,0.2083,3163,15186,3163.0,15186.0
BraTS-GLI-00810-000,75,0.2077,3173,15277,3173.0,15277.0
BraTS-GLI-00810-000,76,0.2047,3143,15351,3143.0,15351.0
BraTS-GLI-00810-000,77,0.2039,3138,15389,3138.0,15389.0
BraTS-GLI-00810-000,78,0.2028,3128,15423,3128.0,15423.0
BraTS-GLI-00810-000,79,0.1992,3075,15440,3075.0,15440.0
BraTS-GLI-00810-000,80,0.1949,3010,15443,3010.0,15443.0
BraTS-GLI-00810-000,81,0.1905,2943,15451,2943.0,15451.0
BraTS-GLI-00810-000,82,0.1879,2902,15446,2902.0,15446.0
BraTS-GLI-00810-000,83,0.1849,2853,15431,2853.0,15431.0
BraTS-GLI-00810-000,84,0.1812,2789,15394,2789.0,15394.0
BraTS-GLI-00810-000,85,0.1755,2693,15347,2693.0,15347.0
BraTS-GLI-00810-000,86,0.1687,2585,15319,2585.0,15319.0
BraTS-GLI-00810-000,87,0.1595,2433,15256,2433.0,15256.0
BraTS-GLI-00810-000,88,0.1471,2230,15159,2230.0,15159.0
BraTS-GLI-00810-000,89,0.1348,2029,15052,2029.0,15052.0
BraTS-GLI-00810-000,90,0.1234,1838,14890,1838.0,14890.0
BraTS-GLI-00810-000,91,0.1123,1658,14764,1658.0,14764.0
BraTS-GLI-00810-000,92,0.0981,1436,14636,1436.0,14636.0
BraTS-GLI-00810-000,93,0.0836,1208,14453,1208.0,14453.0
BraTS-GLI-00810-000,94,0.0775,1107,14283,1107.0,14283.0
BraTS-GLI-00810-000,95,0.0707,998,14117,998.0,14117.0
BraTS-GLI-00810-000,96,0.0633,875,13818,875.0,13818.0
BraTS-GLI-00810-000,97,0.0542,745,13738,745.0,13738.0
BraTS-GLI-00810-000,98,0.0443,601,13567,601.0,13567.0
BraTS-GLI-00810-000,99,0.036,482,13407,482.0,13407.0
BraTS-GLI-00810-000,100,0.0255,336,13174,336.0,13174.0
BraTS-GLI-00810-000,101,0.0149,192,12926,192.0,12926.0
BraTS-GLI-00810-000,102,0.0076,97,12694,97.0,12694.0
BraTS-GLI-00810-000,103,0.0033,41,12495,41.0,12495.0
BraTS-GLI-00810-000,104,0.0011,13,12296,13.0,12296.0
BraTS-GLI-00734-001,40,0.2041,2783,13638,2783.0,13638.0
BraTS-GLI-00734-001,41,0.2108,2908,13794,2908.0,13794.0
BraTS-GLI-00734-001,42,0.2181,3038,13930,3038.0,13930.0
BraTS-GLI-00734-001,43,0.2251,3165,14061,3165.0,14061.0
BraTS-GLI-00734-001,44,0.2309,3270,14161,3270.0,14161.0
BraTS-GLI-00734-001,45,0.2355,3356,14253,3356.0,14253.0
BraTS-GLI-00734-001,46,0.2385,3417,14326,3417.0,14326.0
BraTS-GLI-00734-001,47,0.2402,3457,14392,3457.0,14392.0
BraTS-GLI-00734-001,48,0.2414,3491,14459,3491.0,14459.0
BraTS-GLI-00734-001,49,0.2439,3531,14477,3531.0,14477.0
BraTS-GLI-00734-001,50,0.2478,3595,14507,3595.0,14507.0
BraTS-GLI-00734-001,51,0.2506,3644,14541,3644.0,14541.0
BraTS-GLI-00734-001,52,0.2528,3695,14615,3695.0,14615.0
BraTS-GLI-00734-001,53,0.2567,3782,14732,3782.0,14732.0
BraTS-GLI-00734-001,54,0.2577,3827,14853,3827.0,14853.0
BraTS-GLI-00734-001,55,0.255,3863,15150,3863.0,15150.0
BraTS-GLI-00734-001,56,0.2541,3946,15529,3946.0,15529.0
BraTS-GLI-00734-001,57,0.2544,4035,15858,4035.0,15858.0
BraTS-GLI-00734-001,58,0.253,4091,16172,4091.0,16172.0
BraTS-GLI-00734-001,59,0.2547,4159,16328,4159.0,16328.0
BraTS-GLI-00734-001,60,0.2555,4201,16441,4201.0,16441.0
BraTS-GLI-00734-001,61,0.2548,4232,16608,4232.0,16608.0
BraTS-GLI-00734-001,62,0.2546,4261,16738,4261.0,16738.0
BraTS-GLI-00734-001,63,0.2499,4220,16887,4220.0,16887.0
BraTS-GLI-00734-001,64,0.2376,4101,17258,4101.0,17258.0
BraTS-GLI-00734-001,65,0.231,3998,17311,3998.0,17311.0
BraTS-GLI-00734-001,66,0.2246,3915,17431,3915.0,17431.0
BraTS-GLI-00734-001,67,0.2175,3817,17552,3817.0,17552.0
BraTS-GLI-00734-001,68,0.2076,3675,17706,3675.0,17706.0
BraTS-GLI-00734-001,69,0.1996,3557,17825,3557.0,17825.0
BraTS-GLI-00734-001,70,0.1932,3467,17943,3467.0,17943.0
BraTS-GLI-00734-001,71,0.1873,3373,18008,3373.0,18008.0
BraTS-GLI-00734-001,72,0.1785,3226,18069,3226.0,18069.0
BraTS-GLI-00734-001,73,0.1706,3097,18158,3097.0,18158.0
BraTS-GLI-00734-001,74,0.1639,2989,18237,2989.0,18237.0
BraTS-GLI-00734-001,75,0.1602,2927,18274,2927.0,18274.0
BraTS-GLI-00734-001,76,0.1563,2863,18313,2863.0,18313.0
BraTS-GLI-00734-001,77,0.1535,2814,18333,2814.0,18333.0
BraTS-GLI-00734-001,78,0.1529,2797,18291,2797.0,18291.0
BraTS-GLI-00734-001,79,0.1529,2794,18269,2794.0,18269.0
BraTS-GLI-00734-001,80,0.1532,2787,18194,2787.0,18194.0
BraTS-GLI-00734-001,81,0.1511,2743,18149,2743.0,18149.0
BraTS-GLI-00734-001,82,0.1504,2723,18106,2723.0,18106.0
BraTS-GLI-00734-001,83,0.1462,2636,18029,2636.0,18029.0
BraTS-GLI-00734-001,84,0.1425,2556,17942,2556.0,17942.0
BraTS-GLI-00734-001,85,0.1377,2459,17852,2459.0,17852.0
BraTS-GLI-00734-001,86,0.1328,2366,17811,2366.0,17811.0
BraTS-GLI-00734-001,87,0.126,2237,17749,2237.0,17749.0
BraTS-GLI-00734-001,88,0.117,2060,17608,2060.0,17608.0
BraTS-GLI-00734-001,89,0.1123,1964,17495,1964.0,17495.0
BraTS-GLI-00734-001,90,0.1086,1881,17319,1881.0,17319.0
BraTS-GLI-00734-001,91,0.1065,1834,17218,1834.0,17218.0
BraTS-GLI-00734-001,92,0.1036,1772,17109,1772.0,17109.0
BraTS-GLI-00734-001,93,0.1004,1698,16905,1698.0,16905.0
BraTS-GLI-00734-001,94,0.0965,1612,16698,1612.0,16698.0
BraTS-GLI-00734-001,95,0.0934,1538,16468,1538.0,16468.0
BraTS-GLI-00734-001,96,0.0901,1451,16109,1451.0,16109.0
BraTS-GLI-00734-001,97,0.0845,1359,16085,1359.0,16085.0
BraTS-GLI-00734-001,98,0.0755,1200,15888,1200.0,15888.0
BraTS-GLI-00734-001,99,0.0672,1057,15729,1057.0,15729.0
BraTS-GLI-00734-001,100,0.0628,972,15478,972.0,15478.0
BraTS-GLI-00734-001,101,0.0583,887,15216,887.0,15216.0
BraTS-GLI-00734-001,102,0.0547,818,14949,818.0,14949.0
BraTS-GLI-00734-001,103,0.0513,758,14770,758.0,14770.0
BraTS-GLI-00734-001,104,0.0482,700,14536,700.0,14536.0
BraTS-GLI-00734-001,105,0.0446,635,14248,635.0,14248.0
BraTS-GLI-00734-001,106,0.038,533,14015,533.0,14015.0
BraTS-GLI-00734-001,107,0.0304,416,13669,416.0,13669.0
BraTS-GLI-00734-001,108,0.0214,288,13436,288.0,13436.0
BraTS-GLI-00734-001,109,0.0184,243,13212,243.0,13212.0
BraTS-GLI-00734-001,110,0.0143,184,12836,184.0,12836.0
BraTS-GLI-00734-001,111,0.0097,121,12523,121.0,12523.0
BraTS-GLI-00734-001,112,0.0064,77,12122,77.0,12122.0
BraTS-GLI-00734-001,113,0.0039,46,11813,46.0,11813.0
BraTS-GLI-00734-001,114,0.0003,4,11529,4.0,11529.0
BraTS-GLI-01193-000,40,0.0128,124,9702,124.0,9702.0
BraTS-GLI-01193-000,41,0.0287,286,9954,286.0,9954.0
BraTS-GLI-01193-000,42,0.0507,517,10207,517.0,10207.0
BraTS-GLI-01193-000,43,0.0728,767,10542,767.0,10542.0
BraTS-GLI-01193-000,44,0.095,1024,10778,1024.0,10778.0
BraTS-GLI-01193-000,45,0.117,1285,10985,1285.0,10985.0
BraTS-GLI-01193-000,46,0.1338,1489,11126,1489.0,11126.0
BraTS-GLI-01193-000,47,0.1482,1671,11278,1671.0,11278.0
BraTS-GLI-01193-000,48,0.1598,1829,11447,1829.0,11447.0
BraTS-GLI-01193-000,49,0.1696,1965,11589,1965.0,11589.0
BraTS-GLI-01193-000,50,0.1771,2076,11725,2076.0,11725.0
BraTS-GLI-01193-000,51,0.1874,2219,11840,2219.0,11840.0
BraTS-GLI-01193-000,52,0.1958,2337,11938,2337.0,11938.0
BraTS-GLI-01193-000,53,0.2014,2425,12043,2425.0,12043.0
BraTS-GLI-01193-000,54,0.1935,2479,12809,2479.0,12809.0
BraTS-GLI-01193-000,55,0.1923,2509,13046,2509.0,13046.0
BraTS-GLI-01193-000,56,0.1917,2521,13154,2521.0,13154.0
BraTS-GLI-01193-000,57,0.1894,2519,13300,2519.0,13300.0
BraTS-GLI-01193-000,58,0.1859,2505,13478,2505.0,13478.0
BraTS-GLI-01193-000,59,0.1823,2480,13607,2480.0,13607.0
BraTS-GLI-01193-000,60,0.1802,2475,13735,2475.0,13735.0
BraTS-GLI-01193-000,61,0.1775,2455,13834,2455.0,13834.0
BraTS-GLI-01193-000,62,0.176,2454,13944,2454.0,13944.0
BraTS-GLI-01193-000,63,0.1732,2447,14128,2447.0,14128.0
BraTS-GLI-01193-000,64,0.1709,2445,14303,2445.0,14303.0
BraTS-GLI-01193-000,65,0.1702,2454,14415,2454.0,14415.0
BraTS-GLI-01193-000,66,0.1689,2452,14514,2452.0,14514.0
BraTS-GLI-01193-000,67,0.1685,2465,14630,2465.0,14630.0
BraTS-GLI-01193-000,68,0.1658,2459,14827,2459.0,14827.0
BraTS-GLI-01193-000,69,0.1632,2444,14974,2444.0,14974.0
BraTS-GLI-01193-000,70,0.1603,2426,15133,2426.0,15133.0
BraTS-GLI-01193-000,71,0.1597,2437,15263,2437.0,15263.0
BraTS-GLI-01193-000,72,0.1588,2442,15376,2442.0,15376.0
BraTS-GLI-01193-000,73,0.1574,2445,15534,2445.0,15534.0
BraTS-GLI-01193-000,74,0.1504,2360,15690,2360.0,15690.0
BraTS-GLI-01193-000,75,0.1392,2206,15851,2206.0,15851.0
BraTS-GLI-01193-000,76,0.1271,2030,15967,2030.0,15967.0
BraTS-GLI-01193-000,77,0.1139,1834,16095,1834.0,16095.0
BraTS-GLI-01193-000,78,0.1006,1630,16200,1630.0,16200.0
BraTS-GLI-01193-000,79,0.0829,1350,16279,1350.0,16279.0
BraTS-GLI-01193-000,80,0.0653,1068,16344,1068.0,16344.0
BraTS-GLI-01193-000,81,0.0471,770,16360,770.0,16360.0
BraTS-GLI-01193-000,82,0.0314,514,16365,514.0,16365.0
BraTS-GLI-01193-000,83,0.0167,274,16374,274.0,16374.0
BraTS-GLI-01193-000,84,0.0062,102,16371,102.0,16371.0
BraTS-GLI-01193-000,85,0.0048,79,16356,79.0,16356.0
BraTS-GLI-01193-000,86,0.0039,63,16347,63.0,16347.0
BraTS-GLI-01193-000,87,0.0027,44,16298,44.0,16298.0
BraTS-GLI-01193-000,88,0.001,17,16246,17.0,16246.0
BraTS-GLI-01162-000,40,0.1261,1558,12356,1558.0,12356.0
BraTS-GLI-01162-000,41,0.1484,1863,12555,1863.0,12555.0
BraTS-GLI-01162-000,42,0.1608,2042,12701,2042.0,12701.0
BraTS-GLI-01162-000,43,0.1523,1956,12842,1956.0,12842.0
BraTS-GLI-01162-000,44,0.1523,1974,12965,1974.0,12965.0
BraTS-GLI-01162-000,45,0.1692,2217,13100,2217.0,13100.0
BraTS-GLI-01162-000,46,0.1858,2470,13294,2470.0,13294.0
BraTS-GLI-01162-000,47,0.1851,2506,13537,2506.0,13537.0
BraTS-GLI-01162-000,48,0.177,2466,13936,2466.0,13936.0
BraTS-GLI-01162-000,49,0.181,2602,14373,2602.0,14373.0
BraTS-GLI-01162-000,50,0.1821,2675,14687,2675.0,14687.0
BraTS-GLI-01162-000,51,0.1751,2605,14879,2605.0,14879.0
BraTS-GLI-01162-000,52,0.1861,2803,15062,2803.0,15062.0
BraTS-GLI-01162-000,53,0.175,2663,15217,2663.0,15217.0
BraTS-GLI-01162-000,54,0.1788,2746,15362,2746.0,15362.0
BraTS-GLI-01162-000,55,0.1755,2717,15478,2717.0,15478.0
BraTS-GLI-01162-000,56,0.1786,2788,15611,2788.0,15611.0
BraTS-GLI-01162-000,57,0.1758,2766,15733,2766.0,15733.0
BraTS-GLI-01162-000,58,0.1649,2615,15856,2615.0,15856.0
BraTS-GLI-01162-000,59,0.1656,2659,16057,2659.0,16057.0
BraTS-GLI-01162-000,60,0.1507,2448,16242,2448.0,16242.0
BraTS-GLI-01162-000,61,0.1589,2611,16430,2611.0,16430.0
BraTS-GLI-01162-000,62,0.1595,2645,16584,2645.0,16584.0
BraTS-GLI-01162-000,63,0.1733,2893,16690,2893.0,16690.0
BraTS-GLI-01162-000,64,0.1721,2910,16904,2910.0,16904.0
BraTS-GLI-01162-000,65,0.1638,2781,16983,2781.0,16983.0
BraTS-GLI-01162-000,66,0.1559,2671,17128,2671.0,17128.0
BraTS-GLI-01162-000,67,0.1537,2650,17236,2650.0,17236.0
BraTS-GLI-01162-000,68,0.1218,2109,17313,2109.0,17313.0
BraTS-GLI-01162-000,69,0.123,2138,17379,2138.0,17379.0
BraTS-GLI-01162-000,70,0.121,2108,17424,2108.0,17424.0
BraTS-GLI-01162-000,71,0.1216,2124,17462,2124.0,17462.0
BraTS-GLI-01162-000,72,0.112,1959,17490,1959.0,17490.0
BraTS-GLI-01162-000,73,0.1114,1951,17516,1951.0,17516.0
BraTS-GLI-01162-000,74,0.1044,1830,17526,1830.0,17526.0
BraTS-GLI-01162-000,75,0.1013,1775,17527,1775.0,17527.0
BraTS-GLI-01162-000,76,0.1019,1787,17532,1787.0,17532.0
BraTS-GLI-01162-000,77,0.1006,1763,17524,1763.0,17524.0
BraTS-GLI-01162-000,78,0.1027,1797,17491,1797.0,17491.0
BraTS-GLI-01162-000,79,0.101,1764,17473,1764.0,17473.0
BraTS-GLI-01162-000,80,0.0978,1707,17448,1707.0,17448.0
BraTS-GLI-01162-000,81,0.0928,1615,17407,1615.0,17407.0
BraTS-GLI-01162-000,82,0.0765,1328,17363,1328.0,17363.0
BraTS-GLI-01162-000,83,0.0721,1248,17317,1248.0,17317.0
BraTS-GLI-01162-000,84,0.0679,1172,17259,1172.0,17259.0
BraTS-GLI-01162-000,85,0.0551,948,17195,948.0,17195.0
BraTS-GLI-01162-000,86,0.0488,835,17126,835.0,17126.0
BraTS-GLI-01162-000,87,0.0456,778,17067,778.0,17067.0
BraTS-GLI-01162-000,88,0.0346,588,16997,588.0,16997.0
BraTS-GLI-01162-000,89,0.0332,562,16909,562.0,16909.0
BraTS-GLI-01162-000,90,0.0286,480,16809,480.0,16809.0
BraTS-GLI-01162-000,91,0.0239,399,16717,399.0,16717.0
BraTS-GLI-01162-000,92,0.0207,344,16616,344.0,16616.0
BraTS-GLI-00296-000,83,0.0002,4,17256,4.0,17256.0
BraTS-GLI-00296-000,84,0.0012,21,17232,21.0,17232.0
BraTS-GLI-00296-000,85,0.0027,47,17202,47.0,17202.0
BraTS-GLI-00296-000,86,0.0048,82,17167,82.0,17167.0
BraTS-GLI-00296-000,87,0.0096,164,17119,164.0,17119.0
BraTS-GLI-00296-000,88,0.0177,302,17060,302.0,17060.0
BraTS-GLI-00296-000,89,0.025,425,16998,425.0,16998.0
BraTS-GLI-00296-000,90,0.0352,596,16921,596.0,16921.0
BraTS-GLI-00296-000,91,0.0455,765,16831,765.0,16831.0
BraTS-GLI-00296-000,92,0.0618,1035,16736,1035.0,16736.0
BraTS-GLI-00296-000,93,0.0756,1257,16620,1257.0,16620.0
BraTS-GLI-00296-000,94,0.0895,1478,16511,1478.0,16511.0
BraTS-GLI-00296-000,95,0.0987,1616,16375,1616.0,16375.0
BraTS-GLI-00296-000,96,0.1064,1726,16219,1726.0,16219.0
BraTS-GLI-00296-000,97,0.1065,1712,16075,1712.0,16075.0
BraTS-GLI-00296-000,98,0.109,1733,15900,1733.0,15900.0
BraTS-GLI-00296-000,99,0.1109,1744,15723,1744.0,15723.0
BraTS-GLI-00296-000,100,0.1064,1655,15548,1655.0,15548.0
BraTS-GLI-00296-000,101,0.105,1610,15335,1610.0,15335.0
BraTS-GLI-00296-000,102,0.1008,1525,15123,1525.0,15123.0
BraTS-GLI-00296-000,103,0.0945,1408,14900,1408.0,14900.0
BraTS-GLI-00296-000,104,0.0904,1325,14659,1325.0,14659.0
BraTS-GLI-00296-000,105,0.0859,1237,14400,1237.0,14400.0
BraTS-GLI-00296-000,106,0.082,1159,14142,1159.0,14142.0
BraTS-GLI-00296-000,107,0.0754,1046,13867,1046.0,13867.0
BraTS-GLI-00296-000,108,0.0666,907,13627,907.0,13627.0
BraTS-GLI-00296-000,109,0.0529,707,13367,707.0,13367.0
BraTS-GLI-00296-000,110,0.0468,613,13089,613.0,13089.0
BraTS-GLI-00296-000,111,0.0438,560,12773,560.0,12773.0
BraTS-GLI-00296-000,112,0.0419,522,12472,522.0,12472.0
BraTS-GLI-00296-000,113,0.0436,528,12121,528.0,12121.0
BraTS-GLI-00296-000,114,0.0428,503,11765,503.0,11765.0
BraTS-GLI-00296-000,115,0.0391,446,11416,446.0,11416.0
BraTS-GLI-01308-000,75,0.0001,1,17453,1.0,17453.0
BraTS-GLI-01308-000,76,0.0015,27,17472,27.0,17472.0
BraTS-GLI-01308-000,77,0.0053,93,17467,93.0,17467.0
BraTS-GLI-01308-000,78,0.0111,194,17444,194.0,17444.0
BraTS-GLI-01308-000,79,0.0137,239,17412,239.0,17412.0
BraTS-GLI-01308-000,80,0.0167,290,17387,290.0,17387.0
BraTS-GLI-01308-000,81,0.0185,321,17343,321.0,17343.0
BraTS-GLI-01308-000,82,0.021,363,17304,363.0,17304.0
BraTS-GLI-01308-000,83,0.0222,383,17261,383.0,17261.0
BraTS-GLI-01308-000,84,0.0228,392,17188,392.0,17188.0
BraTS-GLI-01308-000,85,0.0244,418,17117,418.0,17117.0
BraTS-GLI-01308-000,86,0.0242,412,17032,412.0,17032.0
BraTS-GLI-01308-000,87,0.0251,425,16939,425.0,16939.0
BraTS-GLI-01308-000,88,0.0244,411,16858,411.0,16858.0
BraTS-GLI-01308-000,89,0.0241,403,16737,403.0,16737.0
BraTS-GLI-01308-000,90,0.0237,393,16604,393.0,16604.0
BraTS-GLI-01308-000,91,0.0226,372,16467,372.0,16467.0
BraTS-GLI-01308-000,92,0.0211,344,16311,344.0,16311.0
BraTS-GLI-01308-000,93,0.0194,314,16160,314.0,16160.0
BraTS-GLI-01308-000,94,0.0148,237,15992,237.0,15992.0
BraTS-GLI-01308-000,95,0.0121,191,15828,191.0,15828.0
BraTS-GLI-01308-000,96,0.0102,160,15630,160.0,15630.0
BraTS-GLI-01308-000,97,0.0089,137,15415,137.0,15415.0
BraTS-GLI-01209-000,40,0.1412,1133,8024,1133.0,8024.0
BraTS-GLI-01209-000,41,0.1387,1183,8528,1183.0,8528.0
BraTS-GLI-01209-000,42,0.1489,1355,9100,1355.0,9100.0
BraTS-GLI-01209-000,43,0.1646,1604,9747,1604.0,9747.0
BraTS-GLI-01209-000,44,0.1858,1917,10320,1917.0,10320.0
BraTS-GLI-01209-000,45,0.199,2121,10659,2121.0,10659.0
BraTS-GLI-01209-000,46,0.2044,2222,10870,2222.0,10870.0
BraTS-GLI-01209-000,47,0.2113,2338,11063,2338.0,11063.0
BraTS-GLI-01209-000,48,0.221,2480,11221,2480.0,11221.0
BraTS-GLI-01209-000,49,0.224,2547,11368,2547.0,11368.0
BraTS-GLI-01209-000,50,0.2287,2631,11503,2631.0,11503.0
BraTS-GLI-01209-000,51,0.2381,2763,11605,2763.0,11605.0
BraTS-GLI-01209-000,52,0.2447,2865,11708,2865.0,11708.0
BraTS-GLI-01209-000,53,0.2487,2959,11899,2959.0,11899.0
BraTS-GLI-01209-000,54,0.254,3074,12102,3074.0,12102.0
BraTS-GLI-01209-000,55,0.2617,3235,12360,3235.0,12360.0
BraTS-GLI-01209-000,56,0.2674,3404,12728,3404.0,12728.0
BraTS-GLI-01209-000,57,0.2675,3493,13060,3493.0,13060.0
BraTS-GLI-01209-000,58,0.2722,3620,13298,3620.0,13298.0
BraTS-GLI-01209-000,59,0.2719,3664,13476,3664.0,13476.0
BraTS-GLI-01209-000,60,0.275,3750,13638,3750.0,13638.0
BraTS-GLI-01209-000,61,0.2826,3896,13788,3896.0,13788.0
BraTS-GLI-01209-000,62,0.2838,3959,13949,3959.0,13949.0
BraTS-GLI-01209-000,63,0.2864,4040,14105,4040.0,14105.0
BraTS-GLI-01209-000,64,0.2855,4071,14261,4071.0,14261.0
BraTS-GLI-01209-000,65,0.2893,4172,14421,4172.0,14421.0
BraTS-GLI-01209-000,66,0.2895,4219,14572,4219.0,14572.0
BraTS-GLI-01209-000,67,0.2859,4204,14703,4204.0,14703.0
BraTS-GLI-01209-000,68,0.2834,4210,14856,4210.0,14856.0
BraTS-GLI-01209-000,69,0.2772,4164,15021,4164.0,15021.0
BraTS-GLI-01209-000,70,0.2694,4095,15202,4095.0,15202.0
BraTS-GLI-01209-000,71,0.2624,4038,15386,4038.0,15386.0
BraTS-GLI-01209-000,72,0.2472,3842,15540,3842.0,15540.0
BraTS-GLI-01209-000,73,0.2405,3765,15658,3765.0,15658.0
BraTS-GLI-01209-000,74,0.2333,3665,15710,3665.0,15710.0
BraTS-GLI-01209-000,75,0.2229,3514,15765,3514.0,15765.0
BraTS-GLI-01209-000,76,0.2203,3485,15821,3485.0,15821.0
BraTS-GLI-01209-000,77,0.2163,3424,15832,3424.0,15832.0
BraTS-GLI-01209-000,78,0.2053,3257,15864,3257.0,15864.0
BraTS-GLI-01209-000,79,0.1958,3109,15879,3109.0,15879.0
BraTS-GLI-01209-000,80,0.187,2970,15883,2970.0,15883.0
BraTS-GLI-01209-000,81,0.1775,2819,15884,2819.0,15884.0
BraTS-GLI-01209-000,82,0.1666,2649,15904,2649.0,15904.0
BraTS-GLI-01209-000,83,0.1607,2552,15880,2552.0,15880.0
BraTS-GLI-01209-000,84,0.1606,2547,15859,2547.0,15859.0
BraTS-GLI-01209-000,85,0.1574,2489,15812,2489.0,15812.0
BraTS-GLI-01209-000,86,0.1536,2424,15782,2424.0,15782.0
